date,x,y,NDVI,day,irradiance,temp
2019-04-15,735711.2939774223,5232097.603513666,0.29372936487197876,day_of,558.5,53.11
2019-04-15,735731.0418760222,5232097.603513666,0.28688523173332214,day_of,558.5,53.11
2019-04-15,735750.7897746221,5232097.603513666,0.13516424596309662,day_of,558.5,53.11
2019-04-15,735770.537673222,5232097.603513666,0.12933947145938873,day_of,558.5,53.11
2019-04-15,735790.285571822,5232097.603513666,0.2440767139196396,day_of,558.5,53.11
2019-04-15,735810.0334704219,5232097.603513666,0.24617108702659607,day_of,558.5,53.11
2019-04-15,735829.7813690217,5232097.603513666,0.24907338619232178,day_of,558.5,53.11
2019-04-15,735711.2939774223,5232077.860141029,0.27426159381866455,day_of,558.5,53.11
2019-04-15,735731.0418760222,5232077.860141029,0.26178452372550964,day_of,558.5,53.11
2019-04-15,735750.7897746221,5232077.860141029,0.30984100699424744,day_of,558.5,53.11
2019-04-15,735770.537673222,5232077.860141029,0.29501914978027344,day_of,558.5,53.11
2019-04-15,735790.285571822,5232077.860141029,0.25155407190322876,day_of,558.5,53.11
2019-04-15,735810.0334704219,5232077.860141029,0.26918184757232666,day_of,558.5,53.11
2019-04-15,735829.7813690217,5232077.860141029,0.2668371796607971,day_of,558.5,53.11
2019-04-15,735849.5292676217,5232077.860141029,0.2683544158935547,day_of,558.5,53.11
2019-04-15,735869.2771662216,5232077.860141029,0.23021294176578522,day_of,558.5,53.11
2019-04-15,735889.0250648215,5232077.860141029,0.20277029275894165,day_of,558.5,53.11
2019-04-15,735908.7729634214,5232077.860141029,0.15854544937610626,day_of,558.5,53.11
2019-04-15,735928.5208620214,5232077.860141029,0.16370370984077454,day_of,558.5,53.11
2019-04-15,735948.2687606212,5232077.860141029,0.19671519100666046,day_of,558.5,53.11
2019-04-15,735968.0166592211,5232077.860141029,0.20327016711235046,day_of,558.5,53.11
2019-04-15,735711.2939774223,5232058.116768391,0.2729624807834625,day_of,558.5,53.11
2019-04-15,735731.0418760222,5232058.116768391,0.2815198600292206,day_of,558.5,53.11
2019-04-15,735750.7897746221,5232058.116768391,0.2636054456233978,day_of,558.5,53.11
2019-04-15,735770.537673222,5232058.116768391,0.2701222002506256,day_of,558.5,53.11
2019-04-15,735790.285571822,5232058.116768391,0.27424052357673645,day_of,558.5,53.11
2019-04-15,735810.0334704219,5232058.116768391,0.2615894079208374,day_of,558.5,53.11
2019-04-15,735829.7813690217,5232058.116768391,0.2693757712841034,day_of,558.5,53.11
2019-04-15,735849.5292676217,5232058.116768391,0.29534581303596497,day_of,558.5,53.11
2019-04-15,735869.2771662216,5232058.116768391,0.236787348985672,day_of,558.5,53.11
2019-04-15,735889.0250648215,5232058.116768391,0.20128308236598969,day_of,558.5,53.11
2019-04-15,735908.7729634214,5232058.116768391,0.17419853806495667,day_of,558.5,53.11
2019-04-15,735928.5208620214,5232058.116768391,0.1820276528596878,day_of,558.5,53.11
2019-04-15,735948.2687606212,5232058.116768391,0.16749712824821472,day_of,558.5,53.11
2019-04-15,735968.0166592211,5232058.116768391,0.19626925885677338,day_of,558.5,53.11
2019-04-15,735987.7645578211,5232058.116768391,0.22718292474746704,day_of,558.5,53.11
2019-04-15,736007.512456421,5232058.116768391,0.18249733746051788,day_of,558.5,53.11
2019-04-15,735711.2939774223,5232038.373395753,0.26592081785202026,day_of,558.5,53.11
2019-04-15,735731.0418760222,5232038.373395753,0.2608508765697479,day_of,558.5,53.11
2019-04-15,735750.7897746221,5232038.373395753,0.25913044810295105,day_of,558.5,53.11
2019-04-15,735770.537673222,5232038.373395753,0.26306694746017456,day_of,558.5,53.11
2019-04-15,735790.285571822,5232038.373395753,0.2659081220626831,day_of,558.5,53.11
2019-04-15,735810.0334704219,5232038.373395753,0.25271058082580566,day_of,558.5,53.11
2019-04-15,735829.7813690217,5232038.373395753,0.25753074884414673,day_of,558.5,53.11
2019-04-15,735849.5292676217,5232038.373395753,0.26891833543777466,day_of,558.5,53.11
2019-04-15,735869.2771662216,5232038.373395753,0.2649572789669037,day_of,558.5,53.11
2019-04-15,735889.0250648215,5232038.373395753,0.24493242800235748,day_of,558.5,53.11
2019-04-15,735908.7729634214,5232038.373395753,0.23829257488250732,day_of,558.5,53.11
2019-04-15,735928.5208620214,5232038.373395753,0.2206534892320633,day_of,558.5,53.11
2019-04-15,735948.2687606212,5232038.373395753,0.20189648866653442,day_of,558.5,53.11
2019-04-15,735968.0166592211,5232038.373395753,0.19687500596046448,day_of,558.5,53.11
2019-04-15,735987.7645578211,5232038.373395753,0.21264143288135529,day_of,558.5,53.11
2019-04-15,736007.512456421,5232038.373395753,0.1559370458126068,day_of,558.5,53.11
2019-04-15,736027.2603550209,5232038.373395753,0.12320328503847122,day_of,558.5,53.11
2019-04-15,736047.0082536208,5232038.373395753,0.13273727893829346,day_of,558.5,53.11
2019-04-15,735711.2939774223,5232018.630023115,0.27613240480422974,day_of,558.5,53.11
2019-04-15,735731.0418760222,5232018.630023115,0.26274165511131287,day_of,558.5,53.11
2019-04-15,735750.7897746221,5232018.630023115,0.28175312280654907,day_of,558.5,53.11
2019-04-15,735770.537673222,5232018.630023115,0.27248793840408325,day_of,558.5,53.11
2019-04-15,735790.285571822,5232018.630023115,0.27194491028785706,day_of,558.5,53.11
2019-04-15,735810.0334704219,5232018.630023115,0.23769807815551758,day_of,558.5,53.11
2019-04-15,735829.7813690217,5232018.630023115,0.23733779788017273,day_of,558.5,53.11
2019-04-15,735849.5292676217,5232018.630023115,0.25989672541618347,day_of,558.5,53.11
2019-04-15,735869.2771662216,5232018.630023115,0.2456512451171875,day_of,558.5,53.11
2019-04-15,735889.0250648215,5232018.630023115,0.22610141336917877,day_of,558.5,53.11
2019-04-15,735908.7729634214,5232018.630023115,0.21957236528396606,day_of,558.5,53.11
2019-04-15,735928.5208620214,5232018.630023115,0.21086780726909637,day_of,558.5,53.11
2019-04-15,735948.2687606212,5232018.630023115,0.2073219269514084,day_of,558.5,53.11
2019-04-15,735968.0166592211,5232018.630023115,0.17478731274604797,day_of,558.5,53.11
2019-04-15,735987.7645578211,5232018.630023115,0.21553398668766022,day_of,558.5,53.11
2019-04-15,736007.512456421,5232018.630023115,0.15198315680027008,day_of,558.5,53.11
2019-04-15,736027.2603550209,5232018.630023115,0.13517288863658905,day_of,558.5,53.11
2019-04-15,736047.0082536208,5232018.630023115,0.12696747481822968,day_of,558.5,53.11
2019-04-15,736066.7561522208,5232018.630023115,0.13615357875823975,day_of,558.5,53.11
2019-04-15,736086.5040508206,5232018.630023115,0.13333334028720856,day_of,558.5,53.11
2019-04-15,735711.2939774223,5231998.886650478,0.29653963446617126,day_of,558.5,53.11
2019-04-15,735731.0418760222,5231998.886650478,0.3035633862018585,day_of,558.5,53.11
2019-04-15,735750.7897746221,5231998.886650478,0.2732974886894226,day_of,558.5,53.11
2019-04-15,735770.537673222,5231998.886650478,0.2879534363746643,day_of,558.5,53.11
2019-04-15,735790.285571822,5231998.886650478,0.2808491885662079,day_of,558.5,53.11
2019-04-15,735810.0334704219,5231998.886650478,0.24440692365169525,day_of,558.5,53.11
2019-04-15,735829.7813690217,5231998.886650478,0.26966291666030884,day_of,558.5,53.11
2019-04-15,735849.5292676217,5231998.886650478,0.26412615180015564,day_of,558.5,53.11
2019-04-15,735869.2771662216,5231998.886650478,0.24566596746444702,day_of,558.5,53.11
2019-04-15,735889.0250648215,5231998.886650478,0.1968063861131668,day_of,558.5,53.11
2019-04-15,735908.7729634214,5231998.886650478,0.242148756980896,day_of,558.5,53.11
2019-04-15,735928.5208620214,5231998.886650478,0.19467955827713013,day_of,558.5,53.11
2019-04-15,735948.2687606212,5231998.886650478,0.223819300532341,day_of,558.5,53.11
2019-04-15,735968.0166592211,5231998.886650478,0.19487795233726501,day_of,558.5,53.11
2019-04-15,735987.7645578211,5231998.886650478,0.21389107406139374,day_of,558.5,53.11
2019-04-15,736007.512456421,5231998.886650478,0.13903936743736267,day_of,558.5,53.11
2019-04-15,736027.2603550209,5231998.886650478,0.1443185955286026,day_of,558.5,53.11
2019-04-15,736047.0082536208,5231998.886650478,0.14542190730571747,day_of,558.5,53.11
2019-04-15,736066.7561522208,5231998.886650478,0.13256382942199707,day_of,558.5,53.11
2019-04-15,736086.5040508206,5231998.886650478,0.14234620332717896,day_of,558.5,53.11
2019-04-15,736106.2519494205,5231998.886650478,0.12256669253110886,day_of,558.5,53.11
2019-04-15,736125.9998480205,5231998.886650478,0.13665778934955597,day_of,558.5,53.11
2019-04-15,735711.2939774223,5231979.14327784,0.2788008451461792,day_of,558.5,53.11
2019-04-15,735731.0418760222,5231979.14327784,0.26747196912765503,day_of,558.5,53.11
2019-04-15,735750.7897746221,5231979.14327784,0.25922632217407227,day_of,558.5,53.11
